AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;N_ASIS;N_HOMBRES;N_MUJERES;N_PROF;N_PARA;N_AUX;N_ADMIN;N_TEC;N_SIN_DATO;JORN_PROF;JORN_PARA;JORN_AUX;JORN_ADMIN;JORN_TEC;JORN_SIN_DATO;TOT_JORN
2023;1;9;LICEO POLITECNICO ARICA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;38;17;21;10;15;10;2;1;0;383;660;440;88;40;0;1611
2023;2;7;PARVULARIO LAS ESPIGUITAS;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;25;1;24;10;11;4;0;0;0;316;484;176;0;0;0;976
2023;3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES;15;AYP;151;15101;ARICA;151;ARICA;6;5;1;1;1;1;0;1;0;0;0;0;0;44;0;0;0;0;0;44
2023;4;3;LICEO OCTAVIO PALMA PEREZ;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;45;12;33;9;0;15;16;5;0;350;0;660;676;208;0;1894
2023;5;1;JOVINA NARANJO FERNANDEZ;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;48;12;36;10;26;10;0;2;0;410;1044;447;0;84;0;1985
2023;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;68;26;42;17;0;19;26;6;0;739;0;836;1052;256;0;2883
2023;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;47;8;39;13;27;5;1;1;0;487;1089;220;44;35;0;1875
2023;9;4;ESCUELA REPUBLICA DE ISRAEL;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;95;17;78;26;55;11;0;3;0;1044;2288;485;0;122;0;3939
2023;10;8;ESCUELA REPUBLICA DE FRANCIA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;25;3;22;7;0;3;4;11;0;261;0;132;176;415;0;984
2023;11;6;ESC. GRAL. PEDRO LAGOS MARCHANT;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;25;6;19;6;11;7;0;1;0;192;448;308;0;40;0;988
2023;12;4;ESCUELA GRAL JOSE MIGUEL CARRERA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;30;4;26;7;12;5;0;6;0;264;480;220;0;208;0;1172
2023;13;2;ESCUELA MANUEL RODRIGUEZ ERDOYZA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;37;4;33;9;4;7;0;17;0;382;167;308;0;639;0;1496
2023;14;0;ESCUELA ROMULO J. PENA MATURANA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;27;6;21;7;2;4;2;12;0;267;74;176;88;488;0;1093
2023;15;9;LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;44;16;28;11;26;5;0;2;0;425;1092;220;0;80;0;1817
2023;16;7;ESCUELA REGIMIENTO RANCAGUA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;43;6;37;8;23;7;2;3;0;274;963;308;88;110;0;1743
2023;17;5;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;28;9;19;8;15;5;0;0;0;310;564;220;0;0;0;1094
2023;18;3;ESC. COMTE. JUAN JOSE SAN MARTIN;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;34;7;27;5;22;7;0;0;0;189;870;308;0;0;0;1367
2023;19;1;ESC. HUMBERTO VALENZUELA GARCIA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;37;7;30;10;14;7;1;5;0;343;564;308;44;198;0;1457
2023;20;5;ESCUELA TUCAPEL;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;47;8;39;9;1;6;13;18;0;356;44;264;558;706;0;1928
2023;21;3;ESCUELA CARLOS GUIRAO MASSIF;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023;22;1;ESCUELA GABRIELA MISTRAL;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;71;11;60;15;0;11;8;37;0;576;0;484;346;1455;0;2861
2023;25;6;COLEGIO CENTENARIO DE ARICA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;56;12;44;13;28;13;2;0;0;508;1162;572;88;0;0;2330
2023;26;4;ESCUELA REPUBLICA DE ARGENTINA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;26;6;20;5;2;5;4;10;0;109;82;220;176;406;0;993
2023;27;2;ESCUELA ESMERALDA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;31;5;26;9;15;4;0;3;0;314;566;176;0;114;0;1170
2023;28;0;ESCUELA RICARDO SILVA ARRIAGADA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;50;16;34;11;27;11;0;1;0;454;1128;483;0;40;0;2105
2023;29;9;ESCUELA AMERICA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;47;9;38;15;0;7;5;20;0;631;0;309;211;774;0;1925
2023;30;2;ESCUELA DR. RICARDO OLEA GUERRA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;41;7;34;5;25;9;0;2;0;188;1009;396;0;71;0;1664
2023;31;0;ESCUELA DARIO SALAS DIAZ;15;AYP;151;15101;ARICA;151;ARICA;6;5;1;1;26;7;19;5;5;7;1;8;0;210;220;308;44;352;0;1134
2023;32;9;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;15;AYP;151;15101;ARICA;151;ARICA;6;5;1;1;51;9;42;7;34;8;0;2;0;290;1471;352;0;84;0;2197
2023;33;7;ESCUELA CARLOS CONDELL DE LA HAZA;15;AYP;151;15101;ARICA;151;ARICA;6;5;1;1;11;4;7;4;0;4;1;2;0;176;0;176;44;88;0;484
2023;35;3;ESCUELA GRAL. MANUEL BAQUEDANO;15;AYP;151;15101;ARICA;151;ARICA;6;5;1;1;10;2;8;3;4;3;0;0;0;44;164;132;0;0;0;340
2023;36;1;ESCUELA IGNACIO CARRERA PINTO;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;27;7;20;7;8;5;0;7;0;286;336;220;0;288;0;1130
2023;38;8;ESCUELA ESPAÑA;15;AYP;151;15101;ARICA;151;ARICA;6;5;1;1;33;5;28;8;0;4;2;19;0;333;0;176;88;806;0;1403
2023;39;6;ESCUELA PAMPA ALGODONAL;15;AYP;151;15101;ARICA;151;ARICA;6;5;1;1;6;1;5;4;1;1;0;0;0;80;40;44;0;0;0;164
2023;41;8;ESCUELA VALLE DE CHACA;15;AYP;151;15101;ARICA;151;ARICA;6;5;1;1;1;1;0;0;0;1;0;0;0;0;0;44;0;0;0;44
2023;42;6;ESCUELA MOLINOS LLUTA;15;AYP;151;15101;ARICA;151;ARICA;6;5;1;1;6;1;5;4;0;2;0;0;0;44;0;88;0;0;0;132
2023;43;4;JARDIN INFANTIL CEPILLIN;15;AYP;151;15101;ARICA;151;ARICA;3;2;0;1;2;1;1;0;2;0;0;0;0;0;55;0;0;0;0;55
2023;44;2;JARDIN INFANTIL PEQUENILANDIA;15;AYP;151;15101;ARICA;151;ARICA;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023;45;0;COLEGIO ITALIANO SANTA ANA;15;AYP;151;15101;ARICA;151;ARICA;3;2;0;1;36;4;32;7;21;4;4;0;0;286;917;176;140;0;0;1519
2023;46;9;JARDIN INFANTIL SAN ANDRES;15;AYP;151;15101;ARICA;151;ARICA;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023;47;7;J.  I. KURUMI;15;AYP;151;15101;ARICA;151;ARICA;4;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023;49;3;JARDIN INFANTIL PADRE LUIS GALLARDO;15;AYP;151;15101;ARICA;151;ARICA;3;2;0;1;2;1;1;1;1;0;0;0;0;45;24;0;0;0;0;69
2023;50;7;COLEGIO ADVENTISTA DE ARICA;15;AYP;151;15101;ARICA;151;ARICA;3;2;0;1;28;10;18;7;14;6;1;0;0;215;602;264;40;0;0;1121
2023;51;5;ESCUELA PARTICULAR REPÚBLICA DEL ECUADOR;15;AYP;151;15101;ARICA;151;ARICA;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023;52;3;LICEO BICENTENARIO DOMINGO SANTA MARIA;15;AYP;151;15101;ARICA;151;ARICA;3;2;0;1;92;17;75;38;45;6;1;2;0;1627;1980;264;44;88;0;4003
2023;55;8;JARDIN INFANTIL MONTESSORI GARDEN;15;AYP;151;15101;ARICA;151;ARICA;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023;56;6;COLEGIO SAN MARCOS DE ARICA;15;AYP;151;15101;ARICA;151;ARICA;3;2;0;1;43;14;29;6;18;10;7;2;0;234;734;440;300;88;0;1796
2023;57;4;JARDIN INFANTIL ZORZALITO;15;AYP;151;15101;ARICA;151;ARICA;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023;58;2;JARDIN INFANTIL PETETE J.M. BORGOÐO;15;AYP;151;15101;ARICA;151;ARICA;3;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023;59;0;COLEGIO SAN JORGE;15;AYP;151;15101;ARICA;151;ARICA;4;3;0;1;23;8;15;3;12;6;1;1;0;132;458;269;42;26;0;927
2023;60;4;COLEGIO ALEMAN DE ARICA;15;AYP;151;15101;ARICA;151;ARICA;3;2;0;1;51;15;36;6;25;13;3;4;0;264;1064;546;118;172;0;2164
2023;65;5;J.  I.  SOLDADITO DE PLOMO;15;AYP;151;15101;ARICA;151;ARICA;4;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023;66;3;JARDIN INFANTIL PLUTO;15;AYP;151;15101;ARICA;151;ARICA;3;2;0;1;3;1;2;1;0;2;0;0;0;12;0;33;0;0;0;45
2023;67;1;ABRAHAM LINCOLN SCHOOL;15;AYP;151;15101;ARICA;151;ARICA;3;2;0;1;12;3;9;3;3;5;1;0;0;110;93;211;44;0;0;458
2023;69;8;JUNIOR COLLEGE;15;AYP;151;15101;ARICA;151;ARICA;4;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023;70;1;ESCUELA VALLE DE ESQUINA;15;AYP;151;15102;CAMARONES;151;ARICA;6;5;1;1;1;0;1;0;1;0;0;0;0;0;44;0;0;0;0;44
2023;72;8;LICEO VALLE DE CODPA;15;AYP;151;15102;CAMARONES;151;ARICA;6;5;1;1;10;3;7;0;1;6;3;0;0;0;44;264;132;0;0;440
2023;73;6;ESCUELA VALLE DE COBIJA;15;AYP;151;15102;CAMARONES;151;ARICA;6;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023;74;4;ESCUELA VALLE DE CAMARONES;15;AYP;151;15102;CAMARONES;151;ARICA;6;5;1;1;1;0;1;0;0;0;1;0;0;0;0;0;44;0;0;44
2023;75;2;ESCUELA VALLE DE GUANACAGUA;15;AYP;151;15102;CAMARONES;151;ARICA;6;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023;76;0;ESCUELA VALLE DE CUYA;15;AYP;151;15102;CAMARONES;151;ARICA;6;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023;78;7;LICEO GRANADEROS;15;AYP;152;15201;PUTRE;151;ARICA;6;5;1;1;19;8;11;3;8;6;0;2;0;128;352;264;0;88;0;832
