RBD,NOM_RBD,NOM_COM_RBD,RURAL_RBD,DC_A,HH_A,DC_UTP,HH_UTP,DC_PDIR,HH_PDIR,DC_DIR,HH_DIR,DC_OES,HH_OES,DC_OF,HH_OF,DC_JUTP,HH_JUTP,DC_IG,HH_IG,DC_OR,HH_OR,DC_DIR_SOST,HH_DIR_SOST,DC_TP_SOST,HH_TP_SOST,DC_SUP_SOST,HH_SUP_SOST,DC_SUBDIR,HH_SUBDIR,DC_PROF_ENC,HH_PROF_ENC,DC_EDUC_TRAD,HH_EDUC_TRAD,DC_TOT,HH_TOT
8485,LICEO INSTITUTO NACIONAL,SANTIAGO,0,155,6044,4,176,2,88,1,44,44,1713,1,44,1,44,5,220,7,308,0,0,0,0,0,0,0,0,0,0,0,0,220,8681
8487,LICEO JAVIERA CARRERA,SANTIAGO,0,117,4612,13,554,0,0,1,44,4,156,0,0,2,86,4,176,8,352,0,0,0,0,0,0,1,44,0,0,0,0,150,6024
8488,LICEO N° 4 BICENTENARIO ISAURA DINATOR,SANTIAGO,0,22,675,2,88,3,132,1,44,6,206,0,0,0,0,0,0,2,88,0,0,1,44,0,0,0,0,0,0,0,0,37,1277
8489,LICEO BICENTENARIO TERESA PRATS,SANTIAGO,0,29,1106,2,88,0,0,1,44,3,132,0,0,1,44,2,88,1,44,0,0,0,0,0,0,0,0,0,0,0,0,39,1546
8490,LICEO NRO 2 MIGUEL LUIS AMUNATEGUI,SANTIAGO,0,37,1331,1,44,1,44,1,44,2,88,0,0,0,0,2,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1639
8491,LICEO DE APLICACION RECTOR JORGE E SCHNE,SANTIAGO,0,78,2920,3,132,0,0,1,44,8,272,0,0,2,88,7,308,4,163,0,0,1,44,0,0,0,0,0,0,0,0,104,3971
8492,LICEO MANUEL BARROS BORGONO,SANTIAGO,0,33,1301,0,0,0,0,1,44,12,450,0,0,1,44,2,88,2,88,0,0,0,0,0,0,0,0,0,0,0,0,51,2015
8494,LICEO A-1 VALENTIN LETELIER,RECOLETA,0,59,2526,3,132,2,88,1,44,4,176,0,0,0,0,1,44,2,88,0,0,0,0,0,0,0,0,0,0,0,0,72,3098
8495,LICEO CONFEDERACION SUIZA,SANTIAGO,0,25,765,2,88,1,44,1,44,3,102,0,0,0,0,1,44,1,30,0,0,0,0,0,0,0,0,0,0,0,0,34,1117
8496,LICEO JOSÉ DE SAN MARTIN,SANTIAGO,0,35,1314,6,234,0,0,1,44,1,27,0,0,0,0,2,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1707
8497,LICEO GABRIELA MISTRAL,INDEPENDENCIA,0,56,2141,3,130,0,0,1,44,5,193,0,0,2,88,4,153,0,0,0,0,1,44,0,0,0,0,0,0,0,0,72,2793
8498,LICEO DARIO SALAS,SANTIAGO,0,74,3062,5,220,0,0,1,44,7,286,1,42,0,0,3,132,3,132,0,0,0,0,0,0,0,0,0,0,0,0,94,3918
8499,INTERNADO NACIONAL BARROS ARANA,SANTIAGO,0,90,3685,1,44,4,176,1,44,10,331,0,0,0,0,1,44,5,220,0,0,0,0,0,0,0,0,0,0,0,0,112,4544
8500,LICEO INDUSTRIAL ELIODORO GARCIA ZEGERS,SANTIAGO,0,48,1810,4,176,0,0,1,44,8,308,0,0,0,0,4,176,2,88,0,0,0,0,0,0,0,0,0,0,0,0,67,2602
8501,LICEO POLITEC. PDTE. GABRIEL GONZALEZ VIDELA,SANTIAGO,0,40,1554,0,0,0,0,1,44,8,341,0,0,1,44,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,52,2071
8502,LICEO COMERCIAL LUIS CORREA PRIETO,RECOLETA,0,25,875,0,0,0,0,1,44,0,0,0,0,1,44,2,88,1,44,0,0,0,0,0,0,0,0,0,0,0,0,30,1095
8503,INST.SUP.DE COMERCIO EDUARDO FREI M.,SANTIAGO,0,51,1898,4,176,1,44,1,44,3,114,1,39,2,88,3,132,2,88,0,0,0,0,0,0,0,0,0,0,0,0,68,2623
8504,LICEO TECNICO A N° 27 CLELIA CLAVEL DINAT,SANTIAGO,0,26,991,1,44,2,88,1,44,1,30,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1241
8505,LICEO POLIVALENTE A-28 EMILIA TORO DE BAL,SANTIAGO,0,43,1626,0,0,0,0,1,44,4,104,0,0,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1862
8506,INSTITUTO COMERCIAL ELIODORO DOMINGUEZ DOMINGUEZ,SANTIAGO,0,33,1263,1,44,1,12,1,44,0,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1407
8507,LICEO COMERCIAL JOAQUIN VERA MORALES,SANTIAGO,0,39,1553,1,40,0,0,1,44,0,0,0,0,1,44,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,44,1769
8508,LICEO POLIVALENTE JUAN A.RIOS,QUINTA NORMAL,0,22,885,0,0,0,0,1,44,3,112,0,0,1,44,1,44,1,27,0,0,0,0,0,0,0,0,0,0,0,0,29,1156
8510,LICEO PAULA JARAQUEMADA,RECOLETA,0,33,1284,0,0,0,0,1,44,7,250,0,0,0,0,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,43,1666
8511,LICEO EXPERIMENTAL ARTISTICO B-65,MAIPÚ,0,75,2230,0,0,1,44,1,44,1,44,0,0,2,88,1,44,0,0,0,0,1,44,0,0,0,0,0,0,0,0,82,2538
8513,ESC. BAS. REPUBLICA ORIENTAL DE URUGUAY,SANTIAGO,0,42,1573,0,0,1,44,1,44,3,104,0,0,1,44,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,49,1853
8514,LICEO MULTIGENERO DOCTORA ELOISA DIAZ INZUNZA,INDEPENDENCIA,0,58,2305,3,132,0,0,1,44,2,72,0,0,2,88,2,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,2729
8515,ESCUELA BASICA CORNELIA OLIVARES,INDEPENDENCIA,0,14,563,2,88,0,0,1,44,0,0,0,0,1,44,1,44,0,0,0,0,1,44,0,0,0,0,0,0,0,0,20,827
8518,LICEO ESTACION CENTRAL,ESTACIÓN CENTRAL,0,40,1601,1,44,0,0,1,44,4,144,2,77,2,88,2,88,1,44,0,0,0,0,0,0,0,0,0,0,2,70,55,2200
8519,ESCUELA BASICA PEDRO AGUIRRE CERDA,CERRILLOS,0,20,739,2,88,1,44,1,44,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,963
8520,ESCUELA BASICA PROVINCIA DE CHILOE,SANTIAGO,0,37,1423,0,0,0,0,1,44,2,75,0,0,1,44,2,88,1,44,0,0,1,44,0,0,0,0,0,0,0,0,45,1762
8521,ESCUELA CARLOS CONDELL DE LA HAZA,ESTACIÓN CENTRAL,0,48,1980,0,0,0,0,1,44,3,123,0,0,2,88,2,88,2,88,0,0,0,0,0,0,0,0,0,0,1,44,59,2455
8522,ESCUELA BASICA REPUBLICA DE COLOMBIA,SANTIAGO,0,34,1347,0,0,0,0,1,44,7,293,0,0,1,44,1,44,2,88,0,0,0,0,0,0,0,0,0,0,0,0,46,1860
8523,ESCUELA BASICA REPUBLICA DE PANAMA,SANTIAGO,0,25,924,0,0,0,0,1,44,3,101,0,0,1,44,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,32,1201
8529,ESCUELA DE PARVULOS ANTU-HUILEN,INDEPENDENCIA,0,23,909,0,0,0,0,1,44,0,0,0,0,1,44,1,44,0,0,1,41,0,0,0,0,0,0,0,0,0,0,27,1082
8530,ESCUELA CADETE ARTURO PRAT CHACON,SANTIAGO,0,52,1996,2,88,0,0,1,44,4,134,0,0,1,44,2,88,1,44,0,0,0,0,0,0,0,0,0,0,0,0,63,2438
8531,ESCUELA BASICA IRENE FREI DE CID,SANTIAGO,0,40,1589,0,0,0,0,1,44,0,0,0,0,1,44,1,44,1,44,0,0,4,164,0,0,0,0,0,0,0,0,48,1929
8532,ESCUELA BASICA LIBERTADORES DE CHILE,SANTIAGO,0,25,1004,1,44,1,44,1,44,5,172,0,0,1,44,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,36,1440
8533,ESCUELA BASICA BENJAMIN VICUNA MACKENNA,SANTIAGO,0,40,1485,0,0,0,0,1,44,6,198,0,0,1,44,1,44,1,44,0,0,1,44,0,0,0,0,0,0,0,0,51,1903
8535,LICEO REPUBLICA DE BRASIL,SANTIAGO,0,34,1282,3,132,0,0,1,44,1,44,0,0,1,44,2,88,0,0,0,0,1,38,0,0,0,0,0,0,0,0,43,1672
8536,ESCUELA REPUBLICA DE ISRAEL,SANTIAGO,0,40,1520,2,88,1,44,1,44,4,153,0,0,1,44,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,51,1981
8537,ESCUELA ARNALDO FALABELLA,ESTACIÓN CENTRAL,0,35,1430,0,0,0,0,1,44,7,285,0,0,2,88,2,88,1,44,0,0,0,0,0,0,0,0,0,0,0,0,48,1979
8540,ESCUELA BASICA REPUBLICA DE HAITI,SANTIAGO,0,20,713,0,0,1,44,1,44,1,44,0,0,1,44,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,26,977
8541,LICEO DE ADULTOS HERBERT VARGAS WALLIS,SANTIAGO,0,36,1459,0,0,0,0,1,44,0,0,0,0,2,88,2,88,0,0,0,0,2,86,0,0,0,0,0,0,0,0,43,1765
8542,LICEO SAN FRANCISCO DE QUITO,INDEPENDENCIA,0,45,1690,2,63,0,0,1,44,2,74,0,0,2,88,2,88,1,44,0,0,0,0,0,0,0,0,0,0,0,0,55,2091
